date,ticker,open,high,low,close
2023/7/21,DOT,5.31852,5.70421,5.29985,5.48261
2023/8/21,DOT,4.50873,4.53676,4.36275,4.46813
2023/9/21,DOT,4.15065,4.16381,4.0006,4.00524
2023/10/21,DOT,3.72293,3.9788,3.70924,3.91262
2023/11/21,DOT,5.32327,5.34558,4.91027,5.0087
2023/12/21,DOT,6.92188,8.3602,6.8941,8.22256
2024/1/21,DOT,6.90593,6.9708,6.8248,6.82666
2024/2/21,DOT,7.81486,7.83064,7.23421,7.402
2024/3/21,DOT,9.31775,9.53357,9.06428,9.24817
2024/4/21,DOT,7.24987,7.29133,6.96636,7.15502
2024/5/21,DOT,7.52446,7.66832,7.43015,7.56596
2024/6/21,DOT,5.66827,5.73108,5.54786,5.59933
2024/7/21,DOT,6.32332,6.42218,6.10964,6.41608
2024/8/21,DOT,4.52835,4.74948,4.49358,4.68888
2024/9/21,DOT,4.30193,4.4511,4.28236,4.41884
2024/10/21,DOT,4.53986,4.61032,4.33229,4.39265
2024/11/21,DOT,5.73405,5.96389,5.4802,5.92096
2025/2/21,DOT,5.04091,5.33897,4.95026,5.08629
2015/8/7,ETH,3,3,3,3
2015/9/7,ETH,1.34,1.34,1.28,1.28
2015/10/7,ETH,0.6511,0.6511,0.6,0.6
2015/11/7,ETH,0.9899,0.9899,0.8647,0.93
2015/12/7,ETH,0.825,0.825,0.7829,0.79
2016/1/7,ETH,0.95,0.96,0.93,0.94
2016/2/7,ETH,2.53,3,2.51,3
2016/3/7,ETH,10.98,11.47,9.06,9.5
2016/4/7,ETH,10.79,10.8,9.9,10.08
2016/5/7,ETH,9.27,9.45,9.09,9.3
2016/6/7,ETH,13.96,14.55,13.77,14.41
2016/7/7,ETH,10.51,10.6,9.69,10.07
2016/8/7,ETH,10.95,11.13,10.76,10.98
2016/9/7,ETH,11.7,11.86,11.5,11.59
2016/10/7,ETH,12.87,13.08,12.5,12.68
2016/11/7,ETH,10.97,11.04,10.85,10.9
2016/12/7,ETH,7.61,8.55,7.39,8.35
